フランク,塩焼きそば,たこ焼き,焼き鳥,ドリンク,クレープ,綿飴,クロッフル,音楽喫茶,駅弁,外務,会計,放送,美化,展示,管理,執事喫茶
62052,62186,63072,62059,64205,62111,62010,65232,62072,63115,62020,62036,62103,62069,62103,62150,62035
62091,62073,63076,62028,64235,62106,62026,63112,63106,65004,62036,62037,62109,62125,62167,62167,62050
62014,62130,62115,62009,63006,62036,62030,62044,62009,65066,62080,62082,62150,62188,63047,63004,62052
62031,62142,62172,62040,63167,62080,62032,62076,62036,65072,62098,62107,62174,63015,63093,63009,62054
62044,62198,63002,62059,64007,62082,62060,62136,62040,65161,62107,62125,62182,63020,63105,63040,62062
62108,63004,63008,62098,64070,62123,62093,62229,62067,65172,62123,62150,62185,63068,63121,63042,62065
62182,63006,63034,62118,64078,62151,62115,63124,62095,65193,62127,62152,62202,63085,63130,63054,62074
62183,63017,63061,62144,64081,62152,62160,64002,62123,,62133,65232,63015,63103,63139,63091,62077
63004,63021,63062,62171,64100,62156,62163,64003,62150,,62142,62171,63031,63105,63164,63093,62085
63024,63036,63022,62218,64101,62172,62205,64007,62152,,62150,62183,63042,63118,63165,63096,62119
63040,63049,63085,62225,64102,62204,62227,64014,62187,,62152,62190,63079,63135,64020,63118,62128
63043,63057,63104,63005,64111,62210,63028,64019,63044,,62164,62221,63086,63186,64035,63148,62131
63046,63060,63108,63009,64164,63016,63095,64033,64093,,62167,63006,63096,63196,64059,63167,62137
63057,63070,63131,63031,64171,63020,63195,64058,64153,,62201,63007,63099,63199,64122,63173,62183
63087,63074,63147,63032,64174,63023,64109,64086,65001,,62208,63009,63164,63201,64197,63190,
63101,63083,63154,63134,64182,63053,64154,64141,65006,,62225,63020,63187,63217,64219,63197,
63114,63093,63182,63150,64191,63161,64193,64160,65024,,63003,63021,63188,64010,65007,64007,
63127,63100,63188,63167,64194,63188,65020,64167,65038,,63004,63022,63192,64023,65019,64011,
63134,63109,63197,63180,64220,63189,65050,64199,65051,,63009,63042,63200,64040,65028,64028,
63141,63139,63229,63187,64225,63203,65054,64202,65058,,63015,63051,63219,64095,65035,64039,
63169,63143,64004,64025,65011,63214,65055,64222,65059,,63018,63061,63224,64098,65036,64041,
63177,63145,64011,64044,65072,63216,65072,64238,65069,,63019,63062,63227,64110,65037,64073,
63189,63151,64018,64048,65074,63222,65087,65002,65101,,63022,63068,64027,64121,65044,64076,
63194,63163,64029,64081,65082,64027,65094,65021,65106,,63023,63070,64058,64140,65058,64093,
63203,63166,64066,64082,65085,64030,65130,65026,65129,,63024,63086,64074,64174,65061,64095,
63206,63172,64076,64098,65095,64058,65161,65027,65153,,63031,63096,64093,64178,65062,64124,
63212,63175,64079,64129,65108,64116,65177,65030,65162,,63040,63103,64117,64179,65074,64128,
63224,63180,64080,64136,65110,64160,65185,65041,65163,,63043,63104,64156,64197,65078,64138,
63227,63189,64110,64142,65112,65018,65199,65049,65166,,63044,63106,64160,65010,65088,64140,
64012,63192,64114,64149,65115,65019,65213,65059,65175,,63051,63108,64184,65019,65138,64153,
64017,63202,64124,64159,65148,65026,,65061,65190,,63058,63143,64199,65043,65139,64156,
64026,63203,64126,64170,65181,65040,,65088,65204,,63060,63151,64214,65068,65143,64183,
64027,63207,64140,64189,65219,65041,,65095,65215,,63068,63157,64215,65080,65145,64188,
64047,63220,64148,64199,,65046,,65096,65225,,63070,63159,65010,65081,65154,64197,
64051,63223,64176,64212,,65064,,65104,,,63074,63163,65011,65091,65155,64237,
64057,64013,64180,64219,,65067,,65108,,,63082,63175,65012,65106,65169,65003,
64094,64016,64195,64223,,65122,,65111,,,63083,63181,65047,65109,65170,65011,
64100,64022,64207,65036,,65131,,65119,,,63088,63189,65049,65112,65178,65014,
64106,64024,64209,65041,,65134,,65135,,,63089,63194,65058,65116,65203,65020,
64135,64037,64219,65055,,65137,,65139,,,63103,63195,65070,65121,,65023,
64138,64039,65002,65065,,65156,,65148,,,63104,63197,65078,65126,,65029,
64158,64050,65016,65096,,65167,,65164,,,63110,63198,65081,65154,,65035,
65048,64055,65017,65103,,65174,,65172,,,63111,63203,65083,65158,,65037,
65111,64084,65019,65106,,65183,,65173,,,63119,63215,65084,65159,,65038,
65121,64089,65021,65111,,65218,,65181,,,63120,63231,65087,65165,,65041,
65128,64112,65022,65128,,65225,,65185,,,63127,64007,65101,65171,,65043,
65143,64128,65027,65141,,,,65189,,,63130,64028,65115,65174,,65047,
65169,64133,65031,65148,,,,65201,,,63132,64031,65131,,,65052,
65208,64144,65042,65219,,,,65206,,,63134,64041,65133,,,65057,
65224,64226,65054,65231,,,,65218,,,63136,64042,65150,,,65058,
65226,65010,65062,,,,,65219,,,63145,64046,65155,,,65067,
65231,65012,,,,,,65226,,,63147,64048,65162,,,65074,
,65014,,,,,,65231,,,63148,64054,65163,,,65081,
,65113,,,,,,,,,63150,64063,65179,,,65089,
,65118,,,,,,,,,63167,64066,65183,,,65091,
,65127,,,,,,,,,63168,64075,65192,,,65096,
,65133,,,,,,,,,63180,64083,65196,,,65101,
,65197,,,,,,,,,63181,64085,65214,,,65104,
,65212,,,,,,,,,63187,64091,65218,,,65106,
,,,,,,,,,,63190,64093,65221,,,65109,
,,,,,,,,,,63191,64095,65228,,,65112,
,,,,,,,,,,63193,64099,65230,,,65114,
,,,,,,,,,,63196,64116,,,,65121,
,,,,,,,,,,63197,64121,,,,65142,
