job,9:30~10:00,10:00~10:30,10:30~11:00,11:00~11:30,11:30~12:00,12:00~12:30,12:30~13:00,13:00~13:30,13:30~14:00,14:00~14:30,14:30~15:00,15:00~15:30,15:30~16:00,
外務-入場受付-第1レーン,2,2,2,2,2,2,2,2,2,0,0,0,0,
外務-入場受付-第2レーン,2,2,2,2,2,2,2,2,2,0,0,0,0,
外務-入場受付-第3レーン,2,2,2,2,2,2,2,2,2,0,2,0,0,
外務-入場受付-第4レーン,2,2,2,2,2,2,2,2,2,2,2,0,0,
外務-入場受付-第5レーン,2,2,2,2,2,2,2,2,2,2,2,0,0,
外務-総合案内所,4,4,4,4,4,4,4,4,4,4,4,4,4,
外務-校門前誘導,4,0,0,0,0,0,0,0,0,0,0,0,0,
外務-食品システム-販売列先頭,0,1,1,1,1,1,1,1,1,1,1,0,0,
外務-食品システム-受渡列最後尾,0,2,2,2,2,2,2,2,2,1,1,0,0,
外務-食品システム-販売列整理,0,2,2,2,2,2,2,2,2,2,2,0,0,
外務-食品システム-受渡列整理,0,2,2,2,2,2,2,2,2,2,0,0,0,
外務-食品システム-TVモニター,0,3,3,3,3,3,3,3,3,3,3,0,0,
外務-フロア案内所-2F 中学,1,1,1,1,1,1,1,1,1,1,1,1,1,
外務-フロア案内所-2F 高校,1,1,1,1,1,1,1,1,1,1,1,1,1,
外務-フロア案内所-2F 職員室前,1,1,1,1,1,1,1,1,1,1,1,1,1,
外務-フロア案内所-3F 中学,1,1,1,1,1,1,1,1,1,1,1,1,1,
外務-フロア案内所-3F 高校,1,1,1,1,1,1,1,1,1,1,1,1,1,
外務-フロア案内所-4F 中学,1,1,1,1,1,1,1,1,1,1,1,1,1,
外務-フロア案内所-4F 高校,1,1,1,1,1,1,1,1,1,1,1,1,1,13
外務-フロア整理-2F 中学,1,1,1,1,1,1,1,1,1,1,1,1,1,13
外務-フロア整理-2F 高校,1,1,1,1,1,1,1,1,1,1,1,1,1,13
外務-フロア整理-3F 中学,1,1,1,1,1,1,1,1,1,1,1,1,1,13
外務-フロア整理-3F 高校,1,1,1,1,1,1,1,1,1,1,1,1,1,13
外務-フロア整理-4F 中学,1,1,1,1,1,1,1,1,1,1,1,1,1,13
外務-フロア整理-4F 高校,1,1,1,1,1,1,1,1,1,1,1,1,1,13
外務-公道整理-クリーニング,1,1,1,1,1,1,1,1,1,1,1,1,1,13
外務-公道整理-栄光ゼミ前,1,1,1,1,1,1,1,1,1,1,1,1,1,13
外務-公道整理-パーキング,1,1,1,1,1,1,1,1,1,1,1,1,1,13
外務-公道整理-消防団前,1,1,1,1,1,1,1,1,1,1,1,1,1,13
外務-ピアノ見張り,1,1,1,1,1,1,1,1,1,1,1,1,1,13
外務-グラフィナ整理券,0,0,0,0,0,0,0,0,0,0,0,0,0,0
外務-食品案内（店舗列）-クロッフル,1,1,1,1,1,1,1,1,1,1,1,0,0,11
外務-食品案内（店舗列）-綿飴,1,1,1,1,1,1,1,1,1,1,1,0,0,11
外務-食品案内（店舗列）-ドリンク,1,1,1,1,1,1,1,1,1,1,1,0,0,11
会計-ピロティ1,2,2,2,2,2,2,2,2,2,2,2,2,2,26
会計-ピロティ2,2,2,2,2,2,2,2,2,2,2,2,2,2,26
会計-ピロティ3,2,2,2,2,2,2,2,2,2,2,2,2,2,26
会計-ピロティ4,2,2,2,2,2,2,2,2,2,2,2,2,2,26
会計-ピロティ5,2,2,2,2,2,2,2,2,2,2,2,2,2,26
会計-ピロティ6,2,2,2,2,2,2,2,2,2,2,2,2,2,26
会計-ドリンク,2,2,2,2,2,2,2,2,2,2,2,2,2,26
会計-音楽喫茶,2,2,2,2,2,2,2,2,2,2,2,2,2,26
会計-駅弁,2,2,2,2,2,2,2,2,2,2,2,2,2,26
会計-クロッフル,2,2,2,2,2,2,2,2,2,2,2,2,2,26
会計-執事喫茶,2,2,2,2,2,2,2,2,2,2,2,2,2,26
会計-綿あめ,2,2,2,2,2,2,2,2,2,2,2,2,2,26
会計-宇宙食,2,2,2,2,2,2,2,2,2,2,2,2,2,26
食品-フランク-IPAD張り付き,1,1,1,1,1,1,1,1,1,1,1,1,1,13
食品-フランク-茹で,2,2,2,2,2,2,2,2,2,2,2,2,1,25
食品-フランク-焼き,3,3,4,4,4,4,4,4,4,4,2,2,2,44
食品-フランク-盛り付け,2,2,2,3,3,3,3,2,2,2,2,2,2,30
食品-フランク-デリバリー,1,2,2,2,2,2,2,2,2,2,2,1,1,23
食品-フランク-受け渡し,2,2,2,2,2,2,2,2,2,2,3,3,2,28
食品-たこ焼き-IPAD張り付き係,1,1,1,1,1,1,1,1,1,1,1,1,1,13
食品-たこ焼き-鉄板係,4,4,4,4,4,4,4,4,4,3,2,2,2,45
食品-たこ焼き-鉄板サポート係,1,1,2,2,2,2,2,2,2,2,1,1,1,21
食品-たこ焼き-盛り付け係,2,2,3,4,4,4,4,4,4,4,2,2,2,41
食品-たこ焼き-パッキング係,2,2,3,3,3,3,3,3,3,3,2,2,2,34
